id,Make,Model,Year,Engine_HP,Engine_Cylinders,Highway_MPG,City_MPG
115,Mazda,2,2012,100,4,34,28
116,Mazda,2,2012,100,4,34,28
117,Mazda,2,2013,100,4,34,28
118,Mazda,2,2013,100,4,34,28
119,Mazda,2,2013,100,4,35,29
120,Mazda,2,2013,100,4,35,29
121,Mazda,2,2014,100,4,34,28
122,Mazda,2,2014,100,4,34,28
123,Mazda,2,2014,100,4,35,29
124,Mazda,2,2014,100,4,35,29
125,BMW,3 Series Gran Turismo,2015,300,6,30,20
126,BMW,3 Series Gran Turismo,2015,240,4,33,22
127,BMW,3 Series Gran Turismo,2015,240,4,33,22
128,BMW,3 Series Gran Turismo,2016,240,4,34,22
129,BMW,3 Series Gran Turismo,2016,300,6,30,20
130,BMW,3 Series Gran Turismo,2017,320,6,30,20
131,BMW,3 Series Gran Turismo,2017,248,4,33,23
132,BMW,3 Series,2015,241,4,33,22
133,BMW,3 Series,2015,335,6,33,25
134,BMW,3 Series,2015,240,4,35,23
135,BMW,3 Series,2015,300,6,32,21
136,BMW,3 Series,2015,180,4,45,32
137,BMW,3 Series,2015,240,4,33,22
138,BMW,3 Series,2015,240,4,33,22
139,BMW,3 Series,2015,180,4,35,23
140,BMW,3 Series,2015,300,6,30,20
141,BMW,3 Series,2015,180,4,43,31
142,BMW,3 Series,2015,240,4,35,23
143,BMW,3 Series,2015,180,4,43,31
144,BMW,3 Series,2015,180,4,36,24
145,BMW,3 Series,2016,180,4,40,30
146,BMW,3 Series,2016,320,6,33,22
147,BMW,3 Series,2016,180,4,42,32
148,BMW,3 Series,2016,240,4,34,22
149,BMW,3 Series,2016,240,4,34,22
150,BMW,3 Series,2016,240,4,34,22
151,BMW,3 Series,2016,240,4,34,22
152,BMW,3 Series,2016,180,4,36,24
153,BMW,3 Series,2016,180,4,35,23
154,BMW,3 Series,2016,180,4,40,30
155,BMW,3 Series,2016,320,6,33,22
156,BMW,3 Series,2017,248,4,34,23
157,BMW,3 Series,2017,180,4,34,23
158,BMW,3 Series,2017,180,4,35,23
159,BMW,3 Series,2017,248,4,33,23
160,BMW,3 Series,2017,180,4,40,30
161,BMW,3 Series,2017,248,4,33,23
162,BMW,3 Series,2017,180,4,42,32
163,BMW,3 Series,2017,320,6,31,21
164,BMW,3 Series,2017,320,6,32,21
165,BMW,3 Series,2017,180,4,40,30
166,Mercedes-Benz,300-Class,1991,177,6,19,15
167,Mercedes-Benz,300-Class,1991,177,6,20,15
168,Mercedes-Benz,300-Class,1991,158,6,22,17
169,Mercedes-Benz,300-Class,1991,177,6,20,15
170,Mercedes-Benz,300-Class,1991,177,6,18,15
171,Mercedes-Benz,300-Class,1991,177,6,22,16
172,Mercedes-Benz,300-Class,1991,177,6,19,15
173,Mercedes-Benz,300-Class,1991,228,6,21,14
174,Mercedes-Benz,300-Class,1991,217,6,22,15
175,Mercedes-Benz,300-Class,1991,121,5,30,23
176,Mercedes-Benz,300-Class,1992,121,5,29,23
177,Mercedes-Benz,300-Class,1992,228,6,17,14
178,Mercedes-Benz,300-Class,1992,228,6,21,15
179,Mercedes-Benz,300-Class,1992,177,6,19,15
180,Mercedes-Benz,300-Class,1992,177,6,20,15
181,Mercedes-Benz,300-Class,1992,217,6,21,15
182,Mercedes-Benz,300-Class,1992,177,6,22,16
183,Mercedes-Benz,300-Class,1992,148,6,22,18
184,Mercedes-Benz,300-Class,1992,177,6,18,15
185,Mercedes-Benz,300-Class,1992,158,6,23,18
186,Mercedes-Benz,300-Class,1993,177,6,19,15
187,Mercedes-Benz,300-Class,1993,217,6,22,17
188,Mercedes-Benz,300-Class,1993,121,5,30,23
189,Mercedes-Benz,300-Class,1993,228,6,21,14
190,Mercedes-Benz,300-Class,1993,217,6,22,17
191,Mercedes-Benz,300-Class,1993,148,6,22,18
192,Mercedes-Benz,300-Class,1993,177,6,19,15
193,Mercedes-Benz,300-Class,1993,194,6,23,17
194,Mercedes-Benz,300-Class,1993,228,6,18,14
195,Mitsubishi,3000GT,1997,218,6,23,17
196,Mitsubishi,3000GT,1997,161,6,22,17
197,Mitsubishi,3000GT,1997,320,6,22,16
198,Mitsubishi,3000GT,1998,320,6,22,16
199,Mitsubishi,3000GT,1998,161,6,22,17
200,Mitsubishi,3000GT,1998,218,6,23,17
201,Mitsubishi,3000GT,1999,218,6,23,17
202,Mitsubishi,3000GT,1999,320,6,22,16
203,Mitsubishi,3000GT,1999,161,6,22,17
204,Chrysler,300,2015,300,6,27,18
205,Chrysler,300,2015,292,6,31,19
206,Chrysler,300,2015,292,6,31,19
207,Chrysler,300,2015,292,6,27,18
208,Chrysler,300,2015,300,6,31,19
209,Chrysler,300,2015,292,6,31,19
210,Chrysler,300,2015,292,6,27,18
211,Chrysler,300,2015,292,6,27,18
212,Chrysler,300,2016,300,6,27,18
213,Chrysler,300,2016,300,6,31,19
214,Chrysler,300,2016,292,6,27,18
215,Chrysler,300,2016,292,6,31,19
216,Chrysler,300,2016,292,6,27,18
217,Chrysler,300,2016,292,6,27,18
218,Chrysler,300,2016,300,6,31,19
219,Chrysler,300,2016,292,6,31,19
220,Chrysler,300,2016,292,6,31,19
221,Chrysler,300,2016,292,6,31,19
222,Chrysler,300,2016,300,6,27,18
223,Chrysler,300,2016,292,6,27,18
224,Chrysler,300,2017,292,6,27,18
225,Chrysler,300,2017,292,6,27,18
226,Chrysler,300,2017,300,6,27,18
227,Chrysler,300,2017,292,6,30,19
228,Chrysler,300,2017,300,6,30,19
229,Chrysler,300,2017,300,6,27,18
230,Chrysler,300,2017,292,6,30,19
231,Chrysler,300,2017,292,6,30,19
232,Chrysler,300,2017,292,6,27,18
233,Chrysler,300,2017,300,6,30,19
234,Chrysler,300M,2002,250,6,24,16
235,Chrysler,300M,2002,250,6,24,16
236,Chrysler,300M,2003,255,6,25,16
237,Chrysler,300M,2003,250,6,25,16
238,Chrysler,300M,2004,250,6,25,16
239,Chrysler,300M,2004,255,6,25,16
240,Nissan,300ZX,1994,222,6,22,16
241,Nissan,300ZX,1994,222,6,22,16
242,Nissan,300ZX,1994,300,6,22,16
243,Nissan,300ZX,1994,222,6,22,16
244,Nissan,300ZX,1995,300,6,22,16
245,Nissan,300ZX,1995,222,6,22,17
246,Nissan,300ZX,1995,222,6,22,17
247,Nissan,300ZX,1995,222,6,22,17
248,Nissan,300ZX,1996,300,6,22,16
249,Nissan,300ZX,1996,222,6,22,17
250,Nissan,300ZX,1996,222,6,22,17
251,Nissan,300ZX,1996,222,6,22,17
252,Mazda,323,1992,82,4,33,25
253,Mazda,323,1992,82,4,33,25
254,Mazda,323,1993,82,4,33,25
255,Mazda,323,1993,82,4,32,24
256,Mazda,323,1994,82,4,33,25
257,Mercedes-Benz,350-Class,1990,134,6,23,19
258,Mercedes-Benz,350-Class,1990,134,6,23,19
259,Mercedes-Benz,350-Class,1991,134,6,23,19
260,Mercedes-Benz,350-Class,1991,134,6,23,19
261,Nissan,350Z,2007,306,6,23,17
262,Nissan,350Z,2007,306,6,23,17
263,Nissan,350Z,2007,306,6,24,17
264,Nissan,350Z,2007,306,6,24,17
265,Nissan,350Z,2007,306,6,25,18
266,Nissan,350Z,2007,306,6,25,18
267,Nissan,350Z,2007,306,6,24,17
268,Nissan,350Z,2007,306,6,24,17
269,Nissan,350Z,2007,306,6,25,18
270,Nissan,350Z,2007,306,6,24,17
271,Nissan,350Z,2007,306,6,24,17
272,Nissan,350Z,2007,306,6,25,18
273,Nissan,350Z,2007,306,6,25,18
274,Nissan,350Z,2007,306,6,23,17
275,Nissan,350Z,2008,306,6,24,17
276,Nissan,350Z,2008,306,6,24,17
277,Nissan,350Z,2008,306,6,23,17
278,Nissan,350Z,2008,306,6,24,17
279,Nissan,350Z,2008,306,6,23,17
280,Nissan,350Z,2008,306,6,24,17
281,Nissan,350Z,2008,306,6,25,18
282,Nissan,350Z,2008,306,6,24,17
283,Nissan,350Z,2008,306,6,25,18
284,Nissan,350Z,2008,306,6,25,18
285,Nissan,350Z,2008,306,6,25,18
286,Nissan,350Z,2008,306,6,24,17
287,Nissan,350Z,2008,306,6,25,18
288,Nissan,350Z,2008,306,6,23,17
289,Nissan,350Z,2009,306,6,24,17
290,Nissan,350Z,2009,306,6,24,17
291,Nissan,350Z,2009,306,6,23,17
292,Nissan,350Z,2009,306,6,23,17
293,Nissan,350Z,2009,306,6,24,17
294,Nissan,350Z,2009,306,6,23,17
295,Ferrari,360,2002,400,8,15,10
296,Ferrari,360,2002,400,8,15,10
297,Ferrari,360,2002,400,8,15,10
298,Ferrari,360,2002,400,8,15,10
299,Ferrari,360,2003,400,8,15,10
300,Ferrari,360,2003,400,8,15,10
301,Ferrari,360,2003,400,8,15,10
302,Ferrari,360,2003,400,8,15,10
303,Ferrari,360,2004,400,8,15,10
304,Ferrari,360,2004,425,8,15,10
305,Ferrari,360,2004,400,8,15,10
306,Ferrari,360,2004,400,8,15,10
307,Ferrari,360,2004,400,8,15,10
308,Nissan,370Z,2015,350,6,26,19
309,Nissan,370Z,2015,332,6,24,17
310,Nissan,370Z,2015,332,6,26,18
311,Nissan,370Z,2015,332,6,25,18
312,Nissan,370Z,2015,332,6,26,19
313,Nissan,370Z,2015,332,6,26,19
314,Nissan,370Z,2015,332,6,26,18
315,Nissan,370Z,2015,332,6,25,18
316,Nissan,370Z,2015,332,6,26,18
317,Nissan,370Z,2015,332,6,26,18
318,Nissan,370Z,2015,332,6,25,18
319,Nissan,370Z,2015,332,6,24,17
320,Nissan,370Z,2015,332,6,26,19
321,Nissan,370Z,2015,350,6,26,18
322,Nissan,370Z,2015,350,6,26,18
323,Nissan,370Z,2015,332,6,26,19
324,Nissan,370Z,2015,350,6,26,19
325,Nissan,370Z,2016,332,6,25,18
326,Nissan,370Z,2016,332,6,24,17
327,Nissan,370Z,2016,350,6,26,19
328,Nissan,370Z,2016,332,6,26,19
329,Nissan,370Z,2016,332,6,26,19
330,Nissan,370Z,2016,350,6,26,18
331,Nissan,370Z,2016,332,6,26,19
332,Nissan,370Z,2016,332,6,24,17
333,Nissan,370Z,2016,350,6,26,18
334,Nissan,370Z,2016,332,6,26,18
335,Nissan,370Z,2016,332,6,25,18
336,Nissan,370Z,2016,350,6,26,19
337,Nissan,370Z,2016,332,6,25,18
338,Nissan,370Z,2016,332,6,26,18
339,Nissan,370Z,2016,332,6,26,19
340,Nissan,370Z,2016,332,6,26,18
341,Nissan,370Z,2016,332,6,26,18
342,Nissan,370Z,2017,332,6,26,18
343,Nissan,370Z,2017,332,6,26,19
344,Nissan,370Z,2017,332,6,26,19
345,Nissan,370Z,2017,332,6,26,18
346,Nissan,370Z,2017,350,6,26,18
347,Nissan,370Z,2017,350,6,26,18
348,Nissan,370Z,2017,332,6,24,17
349,Nissan,370Z,2017,332,6,26,18
350,Nissan,370Z,2017,332,6,24,17
351,Nissan,370Z,2017,332,6,26,19
352,Nissan,370Z,2017,332,6,25,18
353,Nissan,370Z,2017,332,6,25,18
354,Nissan,370Z,2017,332,6,26,18
355,Nissan,370Z,2017,332,6,25,18
356,Nissan,370Z,2017,350,6,26,19
357,Nissan,370Z,2017,350,6,26,19
358,Nissan,370Z,2017,332,6,26,19
359,Mazda,3,2015,184,4,37,25
360,Mazda,3,2015,184,4,39,28
361,Mazda,3,2015,155,4,41,30
362,Mazda,3,2015,155,4,41,29
363,Mazda,3,2015,155,4,41,29
364,Mazda,3,2015,184,4,37,25
365,Mazda,3,2015,184,4,37,27
366,Mazda,3,2015,184,4,39,28
367,Mazda,3,2015,184,4,35,26
368,Mazda,3,2015,155,4,40,30
369,Mazda,3,2015,155,4,41,30
370,Mazda,3,2015,155,4,40,29
371,Mazda,3,2015,155,4,40,30
372,Mazda,3,2015,155,4,40,30
373,Mazda,3,2015,155,4,40,29
374,Mazda,3,2015,155,4,41,29
375,Mazda,3,2015,184,4,35,26
376,Mazda,3,2015,155,4,41,30
377,Mazda,3,2015,155,4,40,29
378,Mazda,3,2015,184,4,37,27
379,Mazda,3,2015,155,4,41,29
380,Mazda,3,2015,155,4,41,30
381,Mazda,3,2016,155,4,41,29
382,Mazda,3,2016,155,4,41,30
383,Mazda,3,2016,184,4,37,27
384,Mazda,3,2016,155,4,40,29
385,Mazda,3,2016,155,4,40,30
386,Mazda,3,2016,155,4,41,30
387,Mazda,3,2016,155,4,40,30
388,Mazda,3,2016,155,4,41,29
389,Mazda,3,2016,184,4,37,27
390,Mazda,3,2016,184,4,37,25
391,Mazda,3,2016,155,4,41,30
392,Mazda,3,2016,155,4,40,30
393,Mazda,3,2016,155,4,40,29
394,Mazda,3,2016,155,4,40,29
395,Mazda,3,2016,184,4,39,28
396,Mazda,3,2016,155,4,41,29
397,Mazda,3,2016,184,4,35,26
398,Mazda,3,2016,184,4,39,28
399,Mazda,3,2017,155,4,37,28
400,Mazda,3,2017,155,4,37,27
401,Mazda,3,2017,184,4,34,25
402,Mazda,3,2017,184,4,36,27
403,Mazda,3,2017,155,4,37,28
404,Mazda,3,2017,184,4,35,26
405,Mazda,3,2017,184,4,33,25
406,Mazda,3,2017,155,4,37,27
407,Mazda,3,2017,184,4,35,26
408,Mazda,3,2017,155,4,37,28
409,Mazda,3,2017,155,4,37,28
410,Mazda,3,2017,184,4,33,25
411,Mazda,3,2017,155,4,37,27
412,BMW,4 Series Gran Coupe,2015,240,4,33,22
413,BMW,4 Series Gran Coupe,2015,240,4,34,23
414,BMW,4 Series Gran Coupe,2015,240,4,34,23
415,BMW,4 Series Gran Coupe,2015,240,4,33,22
416,BMW,4 Series Gran Coupe,2015,300,6,32,21
417,BMW,4 Series Gran Coupe,2015,300,6,31,20
418,BMW,4 Series Gran Coupe,2016,240,4,34,22
419,BMW,4 Series Gran Coupe,2016,300,6,30,20
420,BMW,4 Series Gran Coupe,2016,300,6,31,20
421,BMW,4 Series Gran Coupe,2016,240,4,34,23
422,BMW,4 Series Gran Coupe,2017,320,6,32,21
423,BMW,4 Series Gran Coupe,2017,320,6,31,21
424,BMW,4 Series Gran Coupe,2017,248,4,33,23
425,BMW,4 Series Gran Coupe,2017,248,4,34,23
426,BMW,4 Series,2015,300,6,29,20
427,BMW,4 Series,2015,300,6,32,21
428,BMW,4 Series,2015,240,4,33,21
429,BMW,4 Series,2015,240,4,33,22
430,BMW,4 Series,2015,240,4,34,23
431,BMW,4 Series,2015,300,6,30,20
432,BMW,4 Series,2015,240,4,33,22
433,BMW,4 Series,2015,240,4,33,21
434,BMW,4 Series,2015,240,4,35,23
435,BMW,4 Series,2015,300,6,31,20
436,BMW,4 Series,2015,240,4,34,23
437,BMW,4 Series,2015,240,4,35,23
438,BMW,4 Series,2016,240,4,33,21
439,BMW,4 Series,2016,240,4,34,23
440,BMW,4 Series,2016,240,4,34,22
441,BMW,4 Series,2016,300,6,30,20
442,BMW,4 Series,2016,240,4,35,23
443,BMW,4 Series,2016,300,6,29,20
444,BMW,4 Series,2016,240,4,34,22
445,BMW,4 Series,2016,300,6,31,20
446,BMW,4 Series,2016,300,6,31,20
447,BMW,4 Series,2017,248,4,34,23
448,BMW,4 Series,2017,248,4,32,22
449,BMW,4 Series,2017,320,6,31,21
450,BMW,4 Series,2017,248,4,33,23
451,BMW,4 Series,2017,248,4,34,23
452,BMW,4 Series,2017,320,6,30,20
453,BMW,4 Series,2017,320,6,29,21
454,BMW,4 Series,2017,320,6,32,21
455,Mercedes-Benz,400-Class,1992,268,8,20,15
456,Mercedes-Benz,400-Class,1992,282,8,16,12
457,Mercedes-Benz,400-Class,1993,275,8,22,16
458,Mercedes-Benz,400-Class,1993,275,8,17,13
459,Mercedes-Benz,420-Class,1990,201,8,17,14
460,Mercedes-Benz,420-Class,1991,201,8,17,14
461,Ferrari,456M,2001,442,12,14,9
462,Ferrari,456M,2001,442,12,15,9
463,Ferrari,456M,2002,442,12,14,9
464,Ferrari,456M,2002,442,12,15,9
465,Ferrari,456M,2003,442,12,14,9
466,Ferrari,456M,2003,442,12,15,9
467,Ferrari,458 Italia,2013,562,8,17,13
468,Ferrari,458 Italia,2013,562,8,17,13
469,Ferrari,458 Italia,2014,562,8,17,13
470,Ferrari,458 Italia,2014,597,8,17,13
471,Ferrari,458 Italia,2014,562,8,17,13
472,Ferrari,458 Italia,2015,562,8,17,13
473,Ferrari,458 Italia,2015,562,8,17,13
474,Ferrari,458 Italia,2015,597,8,17,13
475,Alfa Romeo,4C,2015,237,4,34,24
476,Alfa Romeo,4C,2015,237,4,34,24
477,Alfa Romeo,4C,2015,237,4,34,24
478,Alfa Romeo,4C,2016,237,4,34,24
479,Alfa Romeo,4C,2016,237,4,34,24
480,Toyota,4Runner,2014,270,6,23,17
481,Toyota,4Runner,2014,270,6,23,17
482,Toyota,4Runner,2014,270,6,22,17
483,Toyota,4Runner,2014,270,6,22,17
484,Toyota,4Runner,2014,270,6,22,17
485,Toyota,4Runner,2014,270,6,22,17
486,Toyota,4Runner,2014,270,6,23,17
487,Toyota,4Runner,2014,270,6,22,17
488,Toyota,4Runner,2015,270,6,21,17
489,Toyota,4Runner,2015,270,6,21,17
490,Toyota,4Runner,2015,270,6,21,17
491,Toyota,4Runner,2015,270,6,22,17
492,Toyota,4Runner,2015,270,6,22,17
493,Toyota,4Runner,2015,270,6,21,17
494,Toyota,4Runner,2015,270,6,22,17
495,Toyota,4Runner,2015,270,6,21,17
496,Toyota,4Runner,2015,270,6,21,17
497,Toyota,4Runner,2016,270,6,22,17
498,Toyota,4Runner,2016,270,6,21,17
499,Toyota,4Runner,2016,270,6,21,17
500,Toyota,4Runner,2016,270,6,21,17
501,Toyota,4Runner,2016,270,6,22,17
502,Toyota,4Runner,2016,270,6,21,17
503,Toyota,4Runner,2016,270,6,21,17
504,Toyota,4Runner,2016,270,6,21,17
505,Toyota,4Runner,2016,270,6,22,17
506,BMW,5 Series Gran Turismo,2015,300,6,28,19
507,BMW,5 Series Gran Turismo,2015,445,8,24,16
508,BMW,5 Series Gran Turismo,2015,300,6,26,18
509,BMW,5 Series Gran Turismo,2015,445,8,25,16
510,BMW,5 Series Gran Turismo,2016,300,6,26,18
511,BMW,5 Series Gran Turismo,2016,445,8,24,16
512,BMW,5 Series Gran Turismo,2016,300,6,28,19
513,BMW,5 Series Gran Turismo,2017,300,6,26,18
514,BMW,5 Series Gran Turismo,2017,300,6,27,19
515,BMW,5 Series Gran Turismo,2017,445,8,24,15
516,BMW,5 Series,2015,443,8,25,16
517,BMW,5 Series,2015,302,6,29,20
518,BMW,5 Series,2015,255,6,38,26
519,BMW,5 Series,2015,241,4,33,22
520,BMW,5 Series,2015,255,6,37,26
521,BMW,5 Series,2015,443,8,25,17
522,BMW,5 Series,2015,241,4,34,23
523,BMW,5 Series,2015,302,6,31,20
524,BMW,5 Series,2016,255,6,38,26
525,BMW,5 Series,2016,302,6,29,20
526,BMW,5 Series,2016,302,6,31,20
527,BMW,5 Series,2016,240,4,34,22
528,BMW,5 Series,2016,240,4,34,23
529,BMW,5 Series,2016,443,8,25,16
530,BMW,5 Series,2016,443,8,25,17
531,BMW,5 Series,2016,255,6,37,26
532,Mercedes-Benz,500-Class,1991,322,8,17,13
533,Mercedes-Benz,500-Class,1992,322,8,15,11
534,Mercedes-Benz,500-Class,1992,322,8,16,13
535,Mercedes-Benz,500-Class,1992,322,8,17,13
536,Mercedes-Benz,500-Class,1993,315,8,16,12
537,Mercedes-Benz,500-Class,1993,315,8,18,14
538,Mercedes-Benz,500-Class,1993,315,8,19,14
539,Mercedes-Benz,500-Class,1993,315,8,16,12
540,FIAT,500e,2015,,0,108,122
541,FIAT,500e,2016,,0,103,121
542,FIAT,500e,2017,,0,103,121
543,FIAT,500,2015,160,4,34,28
544,FIAT,500,2015,101,4,40,31
545,FIAT,500,2015,135,4,34,28
546,FIAT,500,2015,101,4,34,28
547,FIAT,500,2015,101,4,34,28
548,FIAT,500,2015,160,4,34,28
549,FIAT,500,2015,101,4,40,31
550,FIAT,500,2015,101,4,34,28
551,FIAT,500,2015,101,4,40,31
552,FIAT,500,2015,101,4,40,31
553,FIAT,500,2015,101,4,40,31
554,FIAT,500,2016,160,4,34,28
555,FIAT,500,2016,101,4,40,31
556,FIAT,500,2016,101,4,40,31
557,FIAT,500,2016,101,4,40,31
558,FIAT,500,2016,160,4,34,28
559,FIAT,500,2016,101,4,40,31
560,FIAT,500,2016,101,4,40,31
561,FIAT,500,2016,101,4,40,31
562,FIAT,500,2016,135,4,34,28
563,FIAT,500,2016,101,4,40,31
564,FIAT,500,2016,101,4,40,31
565,FIAT,500,2017,160,4,33,28
566,FIAT,500,2017,101,4,33,27
567,FIAT,500,2017,101,4,33,27
568,FIAT,500,2017,101,4,33,27
569,FIAT,500,2017,160,4,33,28
570,FIAT,500,2017,101,4,33,27
571,FIAT,500L,2015,160,4,33,25
572,FIAT,500L,2015,160,4,33,25
573,FIAT,500L,2015,160,4,30,22
574,FIAT,500L,2015,160,4,33,25
575,FIAT,500L,2015,160,4,33,25
576,FIAT,500L,2016,160,4,33,25
577,FIAT,500L,2016,160,4,33,25
578,FIAT,500L,2016,160,4,30,22
579,FIAT,500L,2016,160,4,33,25
580,FIAT,500L,2016,160,4,33,25
581,FIAT,500L,2017,160,4,30,22
582,FIAT,500L,2017,160,4,30,22
583,FIAT,500L,2017,160,4,30,22
584,FIAT,500X,2016,180,4,30,21
585,FIAT,500X,2016,180,4,31,22
586,FIAT,500X,2016,180,4,30,21
587,FIAT,500X,2016,180,4,31,22
588,FIAT,500X,2016,180,4,31,22
589,FIAT,500X,2016,180,4,30,21
590,FIAT,500X,2016,160,4,34,25
591,FIAT,500X,2016,180,4,31,22
592,FIAT,500X,2016,180,4,30,21
593,FIAT,500X,2017,180,4,29,21
594,FIAT,500X,2017,180,4,30,22
595,FIAT,500X,2017,180,4,29,21
596,FIAT,500X,2017,180,4,29,21
597,FIAT,500X,2017,180,4,30,22
598,FIAT,500X,2017,160,4,33,25
599,Ferrari,550,2001,485,12,12,8
600,Ferrari,550,2001,485,12,12,8
601,Mercedes-Benz,560-Class,1990,238,8,16,12
602,Mercedes-Benz,560-Class,1990,238,8,16,12
603,Mercedes-Benz,560-Class,1991,238,8,16,12
604,Mercedes-Benz,560-Class,1991,238,8,16,12
605,McLaren,570S,2016,562,8,23,16
606,Ferrari,575M,2002,515,12,15,9
607,Ferrari,575M,2002,515,12,16,9
608,Ferrari,575M,2003,515,12,15,9
609,Ferrari,575M,2003,515,12,16,9
610,Ferrari,575M,2004,515,12,16,9
611,Ferrari,575M,2004,515,12,15,9
612,Maybach,57,2010,543,12,16,10
613,Maybach,57,2010,631,12,16,10
614,Maybach,57,2010,604,12,16,10
615,Maybach,57,2011,543,12,16,10
616,Maybach,57,2011,620,12,16,10
617,Maybach,57,2012,543,12,16,10
618,Maybach,57,2012,620,12,16,10
619,Ferrari,599,2009,611,12,15,11
